"model","split","accuracy","macro_f1","weighted_f1","log_loss"
"Multinomial logistic regression","validation",0.741150442477876,0.581281342264491,0.751112732672975,0.673615215458034
"Multinomial logistic regression","test",0.747524752475248,0.553387891049854,0.756098876980551,0.615018403802951
"Random forest","validation",0.787057522123894,0.6132974776799,0.785865710576304,0.451920177844239
"Random forest","test",0.795929592959296,0.696673581710885,0.792617219429843,0.469875604322571
