"model","split","accuracy","macro_f1","weighted_f1","log_loss"
"Multinomial logistic regression","validation",0.707023670935196,0.62900345428894,0.720005703813273,0.688954973524016
"Multinomial logistic regression","test",0.714285714285714,0.564974166367172,0.726143280963246,0.704290476351309
"Random forest","validation",0.760962359332557,0.659807157086588,0.762095616066035,0.497846543303395
"Random forest","test",0.770809136662795,0.673932345485717,0.770239139639828,0.499398462599431
