"credit_id","actual","feature","class","shap_value"
175024,"Clean Paid Off","contract_amount_per_day","Clean Paid Off",0.0235
175024,"Clean Paid Off","contract_amount_per_day","Paid Off After Delinquency",-0.02475
175024,"Clean Paid Off","contract_amount_per_day","Written Off",0
175024,"Clean Paid Off","contract_amount_per_day","Sold",0.00125
175024,"Clean Paid Off","contract_amount_per_day","Other Terminal / Special Closure",0
175024,"Clean Paid Off","loan_interest","Clean Paid Off",0.0214166666666667
175024,"Clean Paid Off","loan_interest","Paid Off After Delinquency",-0.0214166666666666
175024,"Clean Paid Off","loan_interest","Written Off",0
175024,"Clean Paid Off","loan_interest","Sold",0
175024,"Clean Paid Off","loan_interest","Other Terminal / Special Closure",0
175024,"Clean Paid Off","contract_charge_per_day","Clean Paid Off",-0.002875
175024,"Clean Paid Off","contract_charge_per_day","Paid Off After Delinquency",0.000374999999999998
175024,"Clean Paid Off","contract_charge_per_day","Written Off",0
175024,"Clean Paid Off","contract_charge_per_day","Sold",0.0025
175024,"Clean Paid Off","contract_charge_per_day","Other Terminal / Special Closure",0
175024,"Clean Paid Off","w60d_scheduled_due_interest","Clean Paid Off",0.00375
175024,"Clean Paid Off","w60d_scheduled_due_interest","Paid Off After Delinquency",-0.00375
175024,"Clean Paid Off","w60d_scheduled_due_interest","Written Off",0
175024,"Clean Paid Off","w60d_scheduled_due_interest","Sold",0
175024,"Clean Paid Off","w60d_scheduled_due_interest","Other Terminal / Special Closure",0
175024,"Clean Paid Off","loan_amount","Clean Paid Off",0.00775000000000001
175024,"Clean Paid Off","loan_amount","Paid Off After Delinquency",-0.00775
175024,"Clean Paid Off","loan_amount","Written Off",0
175024,"Clean Paid Off","loan_amount","Sold",0
175024,"Clean Paid Off","loan_amount","Other Terminal / Special Closure",0
111235,"Clean Paid Off","w60d_late_fee_paid","Clean Paid Off",0
111235,"Clean Paid Off","w60d_late_fee_paid","Paid Off After Delinquency",0
111235,"Clean Paid Off","w60d_late_fee_paid","Written Off",0
111235,"Clean Paid Off","w60d_late_fee_paid","Sold",0
111235,"Clean Paid Off","w60d_late_fee_paid","Other Terminal / Special Closure",0
111235,"Clean Paid Off","w60d_days_to_first_payment","Clean Paid Off",0.0667083333333334
111235,"Clean Paid Off","w60d_days_to_first_payment","Paid Off After Delinquency",-0.063
111235,"Clean Paid Off","w60d_days_to_first_payment","Written Off",-0.000166666666666667
111235,"Clean Paid Off","w60d_days_to_first_payment","Sold",-0.00354166666666667
111235,"Clean Paid Off","w60d_days_to_first_payment","Other Terminal / Special Closure",0
111235,"Clean Paid Off","customer_category_id","Clean Paid Off",-0.00270833333333334
111235,"Clean Paid Off","customer_category_id","Paid Off After Delinquency",-0.005875
111235,"Clean Paid Off","customer_category_id","Written Off",0.00558333333333334
111235,"Clean Paid Off","customer_category_id","Sold",0.003
111235,"Clean Paid Off","customer_category_id","Other Terminal / Special Closure",0
111235,"Clean Paid Off","w60d_principal_recovery_rate","Clean Paid Off",0.004125
111235,"Clean Paid Off","w60d_principal_recovery_rate","Paid Off After Delinquency",-0.00383333333333333
111235,"Clean Paid Off","w60d_principal_recovery_rate","Written Off",-0.000291666666666667
111235,"Clean Paid Off","w60d_principal_recovery_rate","Sold",0
111235,"Clean Paid Off","w60d_principal_recovery_rate","Other Terminal / Special Closure",0
