"model","split","accuracy","macro_f1","weighted_f1","log_loss"
"Multinomial logistic regression","validation",0.75,0.702629837879221,0.760203578121586,0.723022425813162
"Multinomial logistic regression","test",0.759094028826356,0.622052549190007,0.769639893562657,0.740340668501229
"Random forest","validation",0.799723756906077,0.720607448839639,0.795633924086963,0.427877326622902
"Random forest","test",0.792724776938916,0.571696944853558,0.786560257083237,0.447928561983838
