"feature","mean_decrease_accuracy"
"w60d_late_fee_paid",56.6689023779104
"w60d_days_to_first_payment",42.456362824784
"customer_category_id",34.9206211345995
"w60d_principal_recovery_rate",30.2994417790283
"w60d_days_since_last_payment",27.6093324303553
"w60d_payment_gap",26.5493885842798
"w60d_payment_count",23.9342732664576
"w60d_principal_paid",23.8379514359476
"w60d_payment_total",20.8564079982906
"w60d_admin_fee_paid",20.2827867573786
"w60d_interest_paid",19.7624302970485
"w60d_total_paid_to_due_ratio",19.4378478698241
"loan_administrative_fee",16.4659857709813
"contract_charge_rate",15.1739692960476
"loan_charge",15.0298627323216
"contract_amount_per_day",14.8606547588782
"loan_interest",14.5959549383812
"contract_charge_per_day",14.3398721521485
"w60d_scheduled_due_interest",14.0414150416027
"loan_amount",13.6273861655353
"loan_apr",13.1471866562388
"loan_created_year",12.3145820434258
"w60d_scheduled_due_total",11.7394882183768
"loan_period",11.6140051687369
"w60d_scheduled_due_principal",10.9849550479291
"w60d_scheduled_due_admin_fee",10.7581430460647
"customer_age_at_loan_days",9.70981211616865
"w60d_days_to_first_payment_missing",7.04367984422003
"sas_credit_score_missing",5.94830476957719
"w60d_due_installments",5.74505433311904
"w60d_total_paid_to_due_ratio_missing",5.39820845601256
"sas_credit_score_value",4.67938854207198
"w60d_days_since_last_payment_missing",4.38230562091369
"sas_credit_score",4.21110024049988
"w60d_ext_period_sum",2.60591630380831
"w60d_ext_price",1.29255011991988
"customer_age",1.11289637617965
"customer_gender",0.813685362070567
"w60d_ext_request_count",0.703328607907894
"loan_schedule",0.372885202280948
"loan_product_id",0.000311832259913948
"contract_charge_rate_missing",0
"loan_insurance",0
"customer_income",0
"customer_dependents",0
"w60d_penalty_paid",0
"w60d_principal_recovery_rate_missing",0
"loan_schedule_type",0
"customer_home_status",0
"customer_work_status",0
"customer_work_activities",0
"customer_region",0
"loan_created_month",-0.0916719292462911
"w60d_ext_completed_count",-0.418993846682365
"loan_creditline_mode",-0.439844039651716
"w60d_charge_paid",-0.819875979814161
"w60d_extension_payment_total",-1.47106312256968
"w60d_extension_payment_count",-2.2373050403954
