"feature","class","mean_shap","mean_abs_shap"
"w60d_payment_count","Sold",0.004625,0.00506617647058824
"w60d_scheduled_due_interest","Sold",-0.000910539215686274,0.00362867647058824
"w60d_days_to_first_payment","Sold",0.000676470588235294,0.00332598039215686
"contract_charge_rate","Sold",0.000649509803921569,0.0032671568627451
"contract_charge_per_day","Sold",-0.00181617647058824,0.00277450980392157
"loan_interest","Sold",-0.000857843137254902,0.00237254901960784
"loan_amount","Sold",-0.000303921568627451,0.00216911764705882
"w60d_days_since_last_payment","Sold",-0.00132475490196078,0.00212622549019608
"w60d_late_fee_paid","Sold",0.000754901960784314,0.00177450980392157
"loan_charge","Sold",-5e-04,0.00146323529411765
"contract_amount_per_day","Sold",-0.000323529411764706,0.00143872549019608
"loan_administrative_fee","Sold",-0.000297794117647059,0.00123897058823529
"customer_category_id","Written Off",0.0432475490196078,0.0432475490196078
"w60d_days_to_first_payment","Written Off",-0.00371691176470588,0.00375612745098039
"w60d_late_fee_paid","Written Off",-0.00350857843137255,0.00350857843137255
"w60d_payment_gap","Written Off",-0.00347058823529412,0.00349754901960784
"contract_charge_per_day","Written Off",-0.000712009803921569,0.00271446078431373
"w60d_interest_paid","Written Off",0.00168504901960784,0.00226102941176471
"w60d_payment_total","Written Off",0.00216421568627451,0.00222303921568628
"loan_interest","Written Off",0.00129779411764706,0.00213357843137255
"contract_charge_rate","Written Off",0.00115808823529412,0.00166053921568627
"w60d_total_paid_to_due_ratio","Written Off",-0.000311274509803921,0.00120098039215686
"w60d_days_since_last_payment","Written Off",-0.00115686274509804,0.00117647058823529
"w60d_principal_recovery_rate","Written Off",-0.000307598039215687,0.00116299019607843
"loan_amount","Written Off",3.79901960784311e-05,0.00115808823529412
"contract_amount_per_day","Written Off",-0.000209558823529412,0.00115563725490196
"loan_charge","Written Off",0.000688725490196079,0.0011078431372549
"w60d_scheduled_due_interest","Written Off",-0.000738970588235294,0.000984068627450981
"w60d_admin_fee_paid","Written Off",7.1078431372549e-05,0.000916666666666667
"loan_administrative_fee","Written Off",-0.000401960784313726,0.000781862745098039
"w60d_principal_paid","Written Off",-0.000493872549019608,0.000712009803921569
"w60d_payment_count","Written Off",-2.8186274509804e-05,0.000349264705882353
